loan_amnt,term,int_rate,annual_inc,dti,fico_avg,emp_length,revol_util,delinq_2yrs,open_acc,pub_rec,PD,LGD,EAD,Expected_Loss,grade,vintage_year,actual_default
35000,36,14.48,125000,26.95,667,0,87.3,0,12,0,0.259915316,0.45,35000,4093.66623,C,2015,0
10000,36,7.89,150000,27.83,667,2,35.3,0,21,0,0.145406567,0.45,10000,654.3295511,A,2015,0
1000,36,13.67,66000,10.82,667,9,82.9,1,5,0,0.158934159,0.45,1000,71.52037169,C,2015,0
28000,60,15.77,95000,8.59,707,8,96.9,0,7,0,0.271607201,0.45,28000,3422.250737,D,2015,0
20000,36,9.76,130100,29.47,707,10,75.9,0,10,0,0.111410874,0.45,20000,1002.697863,B,2015,0
32000,60,18.2,109000,27.07,677,10,75,0,21,0,0.524721811,0.45,32000,7555.994078,E,2015,0
10000,60,11.99,75000,9.95,662,3,65,0,7,1,0.26336027,0.45,10000,1185.121215,C,2015,0
11000,36,8.18,85000,13.21,672,0,58.6,1,8,0,0.102221828,0.45,11000,505.9980473,B,2015,0
35000,60,18.99,76000,16.71,702,10,88.3,0,7,0,0.414467895,0.45,35000,6527.869339,E,2015,0
11000,60,18.2,22000,32.43,712,4,55.7,0,11,0,0.472204919,0.45,11000,2337.414347,E,2015,0
3000,36,7.89,32000,14.07,807,10,4.3,0,12,0,0.041480765,0.45,3000,55.99903287,A,2015,0
20000,60,18.2,60000,32.18,667,5,26.1,0,8,0,0.566099018,0.45,20000,5094.891159,E,2015,0
20000,36,8.38,118375,12.88,667,10,74,0,16,0,0.105166913,0.45,20000,946.5022171,B,2015,0
8000,36,9.17,42000,33.8,667,10,25.8,0,11,1,0.167317172,0.45,8000,602.3418189,B,2015,0
8000,36,11.99,34000,12.16,707,4,37.9,0,6,0,0.124421897,0.45,8000,447.9188302,C,2015,0
21600,36,9.76,68000,8.05,682,3,41.4,1,11,0,0.116261611,0.45,21600,1130.062855,B,2015,0
10000,60,17.86,60000,19.52,662,7,34.5,0,9,0,0.494735653,0.45,10000,2226.310437,D,2015,1
3000,36,7.89,67000,21.3,697,10,0,0,18,0,0.108993815,0.45,3000,147.1416499,A,2015,0
7750,36,9.8,54500,29.02,692,10,26.9,0,7,0,0.134500664,0.45,7750,469.0710664,B,2015,1
5000,36,11.99,20000,9.54,667,1,66,0,7,0,0.152287044,0.45,5000,342.6458494,C,2015,0
21000,60,19.48,120000,24.44,697,1,67.1,0,11,0,0.498688959,0.45,21000,4712.610663,E,2015,1
16000,36,10.99,54000,30.67,707,9,47.1,0,12,0,0.148841502,0.45,16000,1071.658815,B,2015,0
18000,36,7.89,69000,29.58,702,5,32.4,0,19,0,0.122605122,0.45,18000,993.1014896,A,2015,0
11200,60,18.49,52000,21.74,672,8,83.5,0,9,0,0.474361518,0.45,11200,2390.782053,E,2015,0
15400,36,11.48,55000,16.63,667,0,36.6,1,13,0,0.184356325,0.45,15400,1277.58933,B,2015,0
21000,36,8.38,65000,25.35,707,10,86.6,0,7,0,0.087952847,0.45,21000,831.1544003,B,2015,0
35000,36,11.99,190000,12.51,667,6,30.8,2,13,0,0.173326169,0.45,35000,2729.887165,C,2015,0
23000,60,10.64,85000,31.39,747,3,29.8,0,18,0,0.226863131,0.45,23000,2348.033407,B,2015,0
11875,36,18.49,33000,23.53,662,8,72.9,0,7,0,0.340952925,0.45,11875,1821.967191,E,2015,0
19350,36,15.41,80000,15.61,667,10,45,3,10,0,0.241387016,0.45,19350,2101.877445,D,2015,0
19200,36,9.17,113000,21.59,712,10,66.9,0,16,0,0.098089554,0.45,19200,847.493746,B,2015,0
10350,60,15.41,51646,25.8,682,1,57.1,0,6,1,0.39637927,0.45,10350,1846.136448,D,2015,0
4800,36,17.86,19000,39.8,697,2,60.3,0,7,0,0.34081426,0.45,4800,736.1588005,D,2015,0
10250,36,14.48,27000,37.78,697,0,73.7,0,7,0,0.242978498,0.45,10250,1120.738322,C,2015,0
8400,36,16.55,36254,31.65,672,1,58.1,0,16,0,0.343528673,0.45,8400,1298.538385,D,2015,1
14400,36,10.64,67000,20.06,672,10,75.4,7,25,0,0.166131244,0.45,14400,1076.530461,B,2015,1
11000,36,11.48,54000,10.64,672,8,74.5,0,7,0,0.130722899,0.45,11000,647.0783508,B,2015,0
4050,36,16.99,310000,6.36,662,10,18,2,11,1,0.229121957,0.45,4050,417.5747663,D,2015,0
9000,36,11.48,128000,17.72,672,10,89.2,1,12,0,0.138617008,0.45,9000,561.3988827,B,2015,1
6000,36,6.89,58261,16.89,732,2,11.3,1,23,0,0.079475577,0.45,6000,214.5840572,A,2015,0
6400,36,12.59,71352,30.1,662,8,49,3,10,0,0.22167009,0.45,6400,638.4098587,C,2015,0
24750,60,7.89,130000,9.43,697,5,66.7,0,13,0,0.144574726,0.45,24750,1610.201006,A,2015,0
15000,36,8.38,48000,4.23,677,10,30.1,1,4,2,0.085392322,0.45,15000,576.3981716,B,2015,0
34500,36,18.2,75000,22.59,667,3,24.3,0,10,1,0.378878546,0.45,34500,5882.089419,E,2015,0
5000,36,10.64,60000,6.56,687,2,28.2,3,8,0,0.116968131,0.45,5000,263.1782938,B,2015,0
9500,36,16.55,49000,16.26,662,4,78.7,0,9,0,0.267046157,0.45,9500,1141.622323,D,2015,0
15000,36,6.89,65000,14.45,742,3,41.2,0,12,0,0.059003426,0.45,15000,398.2731253,A,2015,0
32500,36,11.99,65000,13.4,692,2,69.2,0,6,0,0.140696706,0.45,32500,2057.689329,C,2015,0
6125,36,16.99,41000,14.55,662,4,68.7,0,8,0,0.273886665,0.45,6125,754.900119,D,2015,1
19900,36,17.57,74000,6.93,667,10,43.3,0,7,2,0.258995799,0.45,19900,2319.307384,D,2015,1
12000,60,17.86,36000,13.7,697,10,69.6,0,6,0,0.372096999,0.45,12000,2009.323793,D,2015,0
23400,36,13.67,65000,24.79,702,0,69.3,0,9,0,0.190143446,0.45,23400,2002.210481,C,2015,0
3425,36,17.86,130000,13.69,672,10,21,4,12,0,0.288141095,0.45,3425,444.0974628,D,2015,0
24000,36,10.64,92500,21.93,702,2,37.1,0,8,0,0.134617989,0.45,24000,1453.874278,B,2015,0
7000,36,9.76,36000,16.95,697,10,58,0,17,0,0.113539016,0.45,7000,357.6478992,B,2015,0
12000,60,13.18,30000,28.72,702,7,60.5,0,17,0,0.32781821,0.45,12000,1770.218333,C,2015,0
9600,36,5.32,99000,27.9,717,10,45,0,19,0,0.07040891,0.45,9600,304.1664932,A,2015,0
10000,36,10.64,35000,5.73,662,5,48,0,6,0,0.128231369,0.45,10000,577.0411605,B,2015,0
4000,36,11.99,53000,23.87,672,2,68.9,1,10,1,0.180162726,0.45,4000,324.2929072,C,2015,0
1400,36,12.59,32000,24.34,672,2,44.6,0,8,0,0.199869202,0.45,1400,125.9175974,C,2015,0
10000,36,11.49,69000,6.66,672,5,50.9,4,8,0,0.1341722,0.45,10000,603.7748999,B,2015,0
7800,36,7.89,80000,18.81,667,9,22.8,0,6,1,0.108586248,0.45,7800,381.1377306,A,2015,0
20000,36,13.67,65000,23.14,667,10,54.2,0,10,0,0.220933652,0.45,20000,1988.402866,C,2015,0
24950,36,11.22,85000,38.29,662,10,91,0,10,2,0.202018018,0.45,24950,2268.157302,B,2015,0
5000,36,7.26,128000,16.61,722,6,58.6,0,13,0,0.064592105,0.45,5000,145.3322368,A,2015,0
8000,36,10.78,28000,29.02,737,10,12.1,0,11,1,0.121799516,0.45,8000,438.4782583,B,2015,0
10000,36,13.99,250000,18.75,692,10,94,0,17,0,0.157212665,0.45,10000,707.4569933,C,2015,0
35000,36,7.26,120000,14.46,807,8,0.4,0,8,0,0.039595069,0.45,35000,623.6223328,A,2015,0
8275,36,16.99,45000,35.31,682,10,58.1,0,14,0,0.327018874,0.45,8275,1217.736532,D,2015,0
30000,36,12.59,200000,8.07,682,8,75.7,0,17,0,0.142912439,0.45,30000,1929.317922,C,2015,0
16000,60,13.99,53000,31.45,677,2,89.3,0,7,0,0.371054268,0.45,16000,2671.59073,C,2015,1
19200,36,6.24,75000,24.22,772,10,54.8,0,14,0,0.048044824,0.45,19200,415.1072811,A,2015,0
1000,36,11.48,40000,18.36,682,10,35.5,0,14,0,0.155046609,0.45,1000,69.77097398,B,2015,0
15000,36,6.89,52500,14.79,717,4,1.6,0,17,0,0.08281748,0.45,15000,559.017987,A,2015,0
7200,36,8.38,34320,19.69,667,1,34.9,0,11,1,0.131652401,0.45,7200,426.5537799,B,2015,0
15000,36,9.76,50000,18,697,8,77,0,9,0,0.104358828,0.45,15000,704.4220912,B,2015,0
8000,36,9.17,35000,19.92,677,2,33.5,1,10,0,0.133630012,0.45,8000,481.0680421,B,2015,0
6000,36,9.76,80000,8.76,682,8,98.9,0,8,0,0.089784203,0.45,6000,242.4173486,B,2015,0
13000,36,9.8,39000,8.74,732,10,6,0,6,1,0.079360196,0.45,13000,464.2571472,B,2015,0
15000,36,12.05,58000,32.24,687,10,49.8,0,18,0,0.202557278,0.45,15000,1367.261625,C,2015,1
20000,60,20.99,65130,13.05,722,3,22.2,0,4,0,0.461827296,0.45,20000,4156.445666,E,2015,1
24000,36,7.91,95000,9.8,697,2,84.3,0,8,0,0.075259129,0.45,24000,812.7985965,A,2015,0
21000,36,7.26,190000,13.96,702,10,52.5,0,14,0,0.071644119,0.45,21000,677.036929,A,2015,0
22000,36,7.89,59892,17.37,702,10,56.1,1,10,0,0.085104183,0.45,22000,842.5314112,A,2015,0
28000,36,5.32,89000,24.04,762,10,45.8,0,16,0,0.049167299,0.45,28000,619.5079617,A,2015,0
25000,36,5.32,250000,1.76,812,7,0.7,0,8,0,0.021340848,0.45,25000,240.084541,A,2015,0
35000,60,10.64,250000,18.44,707,10,78,0,15,0,0.190411002,0.45,35000,2998.973281,B,2015,1
2000,36,11.99,35000,4.01,662,4,17.1,0,7,1,0.154490237,0.45,2000,139.0412131,C,2015,0
20000,60,12.88,61339,2.11,682,2,67,0,3,0,0.231242132,0.45,20000,2081.17919,C,2015,0
11325,36,17.57,27000,9.6,727,1,43.2,0,6,0,0.199067797,0.45,11325,1014.49926,D,2015,0
20000,36,8.38,118000,22.94,682,2,78,0,15,0,0.115858591,0.45,20000,1042.727318,B,2015,1
9500,36,11.99,28000,25.89,662,10,26,1,18,1,0.22655142,0.45,9500,968.5073186,C,2015,1
25000,60,7.26,95000,10.46,812,10,12.3,0,15,0,0.069757288,0.45,25000,784.7694944,A,2015,0
7500,36,6.24,58588,23.62,697,0,40.9,0,8,0,0.083892472,0.45,7500,283.137094,A,2015,0
21000,36,5.32,100000,16.58,762,2,3.8,0,17,0,0.050720759,0.45,21000,479.3111691,A,2015,0
13000,36,11.22,49000,23.39,697,3,45.4,0,21,0,0.168808846,0.45,13000,987.5317469,B,2015,0
22400,36,6.24,100000,13.37,712,0,62.5,0,12,0,0.065023966,0.45,22400,655.4415737,A,2015,0
11000,60,16.99,70000,21.12,672,9,65.1,1,7,1,0.423308228,0.45,11000,2095.375731,D,2015,0
24000,36,8.38,70000,21.5,702,3,21.4,1,7,0,0.106759072,0.45,24000,1152.997983,B,2015,1
4500,36,16.59,86000,28.79,692,2,60.5,0,25,0,0.309845216,0.45,4500,627.4365615,D,2015,1
19400,60,17.97,78000,17.17,672,10,58,3,4,1,0.438129842,0.45,19400,3824.873524,D,2015,0
22000,60,11.99,60000,28.44,717,2,35,1,25,0,0.317528989,0.45,22000,3143.536995,C,2015,0
7000,36,13.18,102000,20,672,10,88.8,0,11,0,0.172493946,0.45,7000,543.355929,C,2015,1
24800,60,16.99,114000,9.5,692,5,54.2,4,10,0,0.369310637,0.45,24800,4121.506709,D,2015,0
6000,36,14.33,32000,30.16,682,2,36.3,0,10,1,0.254218015,0.45,6000,686.388641,C,2015,0
11000,36,6.49,75000,26.32,787,10,21.5,0,9,0,0.045561437,0.45,11000,225.5291126,A,2015,0
20000,36,9.17,80000,14.45,667,9,46.9,2,20,0,0.136214947,0.45,20000,1225.934525,B,2015,0
10100,60,9.17,113000,3.18,797,2,29.2,0,4,0,0.074087065,0.45,10100,336.7257092,B,2015,0
35000,60,16.55,90000,20.52,692,1,61.4,1,16,0,0.435087955,0.45,35000,6852.635294,D,2015,0
20000,60,9.76,153000,14.21,722,10,29.3,0,21,0,0.177821724,0.45,20000,1600.395519,B,2015,0
7975,36,16.99,53000,14.67,667,10,3.1,0,9,1,0.290819086,0.45,7975,1043.676996,D,2015,0
28000,36,13.67,105000,15.81,697,3,80.4,0,11,0,0.166618597,0.45,28000,2099.394316,C,2015,0
16900,60,21.99,38000,17.37,667,3,60,0,6,1,0.602463005,0.45,16900,4581.731154,F,2015,0
25000,60,9.76,94500,25.17,712,4,34.4,1,13,0,0.221437574,0.45,25000,2491.172708,B,2015,0
4200,36,6.24,55000,24.72,692,2,16.4,0,8,1,0.091168832,0.45,4200,172.3090928,A,2015,0
14750,60,20.99,41000,14.52,667,6,73.9,1,6,0,0.541632385,0.45,14750,3595.084953,E,2015,1
20000,60,24.99,130000,13.87,727,10,40.9,0,12,0,0.569883815,0.45,20000,5128.954337,F,2015,0
30000,60,20.99,125000,25.42,662,10,53,0,19,2,0.636286925,0.45,30000,8589.873491,E,2015,1
10500,60,8.38,75000,17.63,717,8,16.3,0,13,1,0.162669976,0.45,10500,768.6156353,B,2015,0
4300,36,5.32,71250,26.6,762,10,9.3,0,19,0,0.054208954,0.45,4300,104.8943255,A,2015,0
6400,36,9.17,55000,21.34,707,10,44,0,11,1,0.100458873,0.45,6400,289.3215545,B,2015,0
12000,60,13.18,55000,15.14,677,8,22.3,1,17,0,0.335033789,0.45,12000,1809.182459,C,2015,1
6000,36,9.76,62000,17.63,722,5,22,0,15,1,0.104435224,0.45,6000,281.9751038,B,2015,0
5000,36,7.49,100000,21.52,717,10,40,1,23,0,0.086360209,0.45,5000,194.3104696,A,2015,0
15400,60,17.57,50000,24.12,687,8,66.3,0,8,0,0.437830915,0.45,15400,3034.168244,D,2015,0
18000,60,13.18,54000,7.16,737,3,6.2,0,7,1,0.212650429,0.45,18000,1722.468476,C,2015,0
10000,60,14.48,91000,28.33,682,10,40,0,21,1,0.406032318,0.45,10000,1827.145432,C,2015,0
8000,36,13.18,39500,35.82,682,4,94.1,0,15,0,0.226353896,0.45,8000,814.8740241,C,2015,0
1000,36,9.76,43000,7.09,672,6,28,0,11,1,0.117054631,0.45,1000,52.67458407,B,2015,0
16000,60,10.64,75000,27.67,732,1,53.1,0,15,0,0.219249889,0.45,16000,1578.599202,B,2015,1
10000,36,9.76,60000,23.58,667,4,46.2,0,18,1,0.165515196,0.45,10000,744.8183817,B,2015,0
35000,60,20.99,86000,19.06,672,2,79.1,0,10,0,0.578611851,0.45,35000,9113.136657,E,2015,1
12000,36,11.22,75000,17.57,692,0,82.8,0,16,0,0.140690263,0.45,12000,759.7274222,B,2015,0
15000,36,13.18,60000,6.22,677,10,56.6,0,6,1,0.146150551,0.45,15000,986.5162201,C,2015,1
15000,36,9.17,150000,9.91,662,5,69.3,1,10,0,0.108420176,0.45,15000,731.8361847,B,2015,1
10000,36,8.38,93450,16.75,672,10,35.8,1,11,0,0.109747644,0.45,10000,493.8643979,B,2015,0
20000,36,8.18,60000,6.92,707,10,44.3,0,9,0,0.072531891,0.45,20000,652.7870166,B,2015,0
20000,60,17.86,153000,10.57,672,1,80.7,1,7,0,0.408075639,0.45,20000,3672.680754,D,2015,0
23450,36,14.48,53300,14.85,762,1,12,1,17,0,0.150506129,0.45,23450,1588.215929,C,2015,0
4800,36,10.64,104000,6.36,662,3,11.4,0,4,2,0.130899888,0.45,4800,282.743757,B,2015,0
35000,36,17.86,100000,28.19,702,2,82,0,12,0,0.300910937,0.45,35000,4739.347259,D,2015,0
15300,36,16.99,45000,18.35,662,10,27.5,1,17,0,0.328778697,0.45,15300,2263.641326,D,2015,0
18000,60,9.76,148000,14.47,682,8,49.9,0,14,1,0.20700562,0.45,18000,1676.745525,B,2015,0
20400,36,7.26,110000,11.8,792,10,12.8,0,16,0,0.042598246,0.45,20400,391.0518993,A,2015,0
10000,36,7.26,54000,10.62,712,10,26.9,0,5,0,0.064093949,0.45,10000,288.4227684,A,2015,1
10000,36,7.89,61000,14.4,697,9,83.4,0,13,0,0.078942579,0.45,10000,355.2416077,A,2015,0
6075,36,22.99,20280,5.33,677,0,66.7,0,3,0,0.383692674,0.45,6075,1048.919847,F,2015,1
7800,36,5.32,85000,9.76,727,0,21.9,0,7,1,0.04896743,0.45,7800,171.8756809,A,2015,0
3000,36,7.49,86000,1.94,787,10,7.1,0,20,0,0.03943656,0.45,3000,53.23935573,A,2015,0
20000,36,12.59,60000,38.72,662,10,37.1,0,12,1,0.264548477,0.45,20000,2380.936297,C,2015,0
4800,36,5.32,95000,12.56,817,10,9,0,14,0,0.026421309,0.45,4800,57.0700271,A,2015,0
7925,36,13.18,45000,19.23,697,5,35.9,0,9,0,0.171941621,0.45,7925,613.1868066,C,2015,0
13200,36,10.64,75300,22.12,707,6,29.6,0,13,0,0.132692081,0.45,13200,788.1909641,B,2015,0
35000,36,17.86,104000,7.81,687,10,95,0,15,0,0.240437073,0.45,35000,3786.883897,D,2015,0
2000,36,13.18,65000,21.34,717,7,103.5,0,5,0,0.122410465,0.45,2000,110.1694188,C,2015,0
12000,36,5.32,105000,19.04,742,8,48,0,8,0,0.045175156,0.45,12000,243.9458428,A,2015,0
21075,60,25.99,130000,18.21,667,5,63.5,0,14,0,0.725245286,0.45,21075,6878.044982,F,2015,0
18000,60,9.76,160000,25.36,682,5,69,2,9,0,0.224104359,0.45,18000,1815.245311,B,2015,0
8000,36,7.89,81000,7.01,667,6,8.4,0,10,1,0.10039272,0.45,8000,361.4137908,A,2015,0
14300,36,16.55,100000,14.14,677,10,74,0,11,0,0.230922173,0.45,14300,1485.984182,D,2015,1
9725,36,16.99,52100,38.33,717,6,58.4,0,17,0,0.295829819,0.45,9725,1294.625244,D,2015,0
4800,36,11.22,120000,13.33,682,2,30.8,1,19,0,0.15311323,0.45,4800,330.7245774,B,2015,0
16000,60,17.27,60000,31.84,667,4,62,0,16,0,0.535755559,0.45,16000,3857.440028,D,2015,1
10000,60,18.2,70000,37.29,672,10,54.8,0,14,1,0.55615269,0.45,10000,2502.687103,E,2015,1
2400,36,13.67,52000,10.64,762,4,16,0,9,0,0.106589405,0.45,2400,115.1165579,C,2015,0
24000,60,13.67,50000,15.07,747,5,6.6,5,17,0,0.261148786,0.45,24000,2820.406884,C,2015,1
20000,36,10.64,70000,14.54,697,10,83.7,0,6,0,0.102884421,0.45,20000,925.9597911,B,2015,0
7000,36,13.67,35000,20.1,702,1,8.7,0,8,0,0.192568367,0.45,7000,606.5903562,C,2015,0
10000,60,13.67,46800,15.92,672,7,88.8,0,4,0,0.289430106,0.45,10000,1302.435479,C,2015,1
10000,36,7.26,52000,16.25,712,5,53.1,0,5,0,0.068950091,0.45,10000,310.2754076,A,2015,0
8100,36,20.5,60000,15.12,667,4,32.4,2,10,0,0.393962818,0.45,8100,1435.994473,E,2015,0
20000,60,13.67,62000,24.12,742,10,40,0,11,0,0.251396037,0.45,20000,2262.564332,C,2015,0
9000,36,6.24,105000,17.19,682,4,83.8,0,12,1,0.074986092,0.45,9000,303.6936729,A,2015,0
9600,36,14.48,70000,23.44,662,4,38.2,0,11,1,0.260405585,0.45,9600,1124.952128,C,2015,1
16000,60,10.64,82000,11.94,722,10,69.4,0,12,1,0.163359807,0.45,16000,1176.190611,B,2015,0
24000,36,5.32,385000,22.16,707,10,70.8,1,18,0,0.055014087,0.45,24000,594.1521414,A,2015,0
16000,60,14.33,60000,9.04,667,2,85,0,6,0,0.310392386,0.45,16000,2234.825179,C,2015,0
20800,36,6.89,78000,26.42,772,10,17.8,0,16,0,0.060622296,0.45,20800,567.4246941,A,2015,0
8500,36,14.48,25000,13.84,677,8,70.7,1,14,0,0.202033677,0.45,8500,772.7788158,C,2015,0
10000,36,9.76,65000,39.75,697,10,89.3,0,10,0,0.136744535,0.45,10000,615.3504082,B,2015,0
22400,60,17.97,70000,39.04,672,2,92.3,1,25,0,0.596971945,0.45,22400,6017.47721,D,2015,1
5400,36,9.17,33000,37.31,702,2,64.6,0,8,0,0.132418105,0.45,5400,321.7759954,B,2015,0
12650,36,12.59,51000,26.59,707,10,44.6,0,10,0,0.161965549,0.45,12650,921.9888884,C,2015,0
6000,36,6.24,141000,9.52,782,8,25.3,0,16,0,0.035714128,0.45,6000,96.42814671,A,2015,0
20000,60,18.99,52000,26.93,667,1,52.2,0,17,0,0.591247616,0.45,20000,5321.228542,E,2015,0
8000,36,10.64,47500,24.36,667,10,68.9,0,8,1,0.150839419,0.45,8000,543.021908,B,2015,1
15000,36,9.76,147000,5.39,672,7,52.1,0,6,0,0.098725689,0.45,15000,666.3984017,B,2015,0
5475,36,18.49,21000,29.71,682,10,34,0,13,0,0.362254457,0.45,5475,892.5044197,D,2015,0
15000,36,10.78,35000,10.91,682,4,38,0,5,1,0.127235372,0.45,15000,858.83876,B,2015,1
5375,36,16.55,60000,28.2,707,10,40.5,0,14,2,0.254430099,0.45,5375,615.4028021,D,2015,0
11000,36,6.49,85000,15,757,10,20.1,0,12,0,0.048805457,0.45,11000,241.5870141,A,2015,0
15000,36,12.59,55488,17,702,9,41.1,0,11,0,0.150103708,0.45,15000,1013.200031,C,2015,0
9900,36,13.67,65000,14.64,672,10,77.8,0,13,1,0.181593214,0.45,9900,808.9977702,C,2015,0
21600,36,8.38,104000,10,677,10,87.3,0,12,0,0.088176594,0.45,21600,857.0764973,B,2015,0
6000,36,7.89,42000,5.4,672,9,32,1,9,0,0.088362734,0.45,6000,238.5793824,A,2015,0
12000,36,7.26,67000,8.96,697,2,23.2,0,21,0,0.090358387,0.45,12000,487.9352898,A,2015,0
1500,36,16.55,44000,8.93,697,10,49.6,0,10,0,0.197497091,0.45,1500,133.3105364,D,2015,0
10000,36,13.67,72000,16.26,662,9,70.4,1,5,1,0.186173852,0.45,10000,837.7823362,C,2015,0
10000,36,11.22,120000,16.54,692,10,98.6,0,9,0,0.109936795,0.45,10000,494.7155793,B,2015,0
12800,36,11.49,60000,32.63,752,10,53.2,0,12,0,0.115512237,0.45,12800,665.3504865,B,2015,0
18000,36,11.99,52300,17.42,677,7,68.2,0,14,0,0.166621818,0.45,18000,1349.636727,C,2015,0
24000,60,17.57,70000,24.1,717,0,65.4,0,11,0,0.412799629,0.45,24000,4458.235989,D,2015,1
16000,36,16.55,80000,28.91,672,4,44.7,0,18,0,0.33867895,0.45,16000,2438.488442,D,2015,1
21000,36,6.24,190000,13.14,722,10,45.8,0,21,0,0.059614263,0.45,21000,563.3547868,A,2015,0
35000,36,16.55,122360,15.78,677,8,83.6,1,27,0,0.285424683,0.45,35000,4495.438756,D,2015,0
2500,36,13.67,90000,15.45,697,10,89.7,0,12,0,0.145100602,0.45,2500,163.2381773,C,2015,0
20000,36,7.26,93000,18.63,742,6,44.6,0,14,0,0.065130557,0.45,20000,586.1750109,A,2015,0
14200,60,18.99,75000,31.02,682,3,99,0,7,0,0.504907382,0.45,14200,3226.358174,E,2015,1
25000,60,17.97,69000,29.35,677,5,80,0,15,0,0.517896153,0.45,25000,5826.331719,D,2015,1
20000,36,6.89,95000,30.81,717,10,62,0,20,0,0.08980697,0.45,20000,808.2627275,A,2015,0
2600,36,12.05,30000,13.48,682,10,39.7,0,7,1,0.142781739,0.45,2600,167.0546345,C,2015,1
15850,60,17.57,65000,33.44,712,2,24.8,0,14,0,0.486098691,0.45,15850,3467.098916,D,2015,1
3000,36,12.59,33000,19.27,697,10,44.3,0,8,0,0.149611748,0.45,3000,201.9758592,C,2015,0
22000,36,13.18,71040,22.91,712,0,98.4,0,5,0,0.147099057,0.45,22000,1456.280661,C,2015,0
15000,36,9.76,71000,6.34,677,10,45,0,7,1,0.102064864,0.45,15000,688.9378314,B,2015,0
12000,60,12.59,72000,26.62,662,10,90.2,0,13,0,0.330286627,0.45,12000,1783.547785,C,2015,0
16000,60,24.99,60000,10.24,672,0,32,0,7,0,0.676635977,0.45,16000,4871.779032,F,2015,1
3500,36,11.49,52000,24.46,712,3,46.2,0,10,0,0.137657585,0.45,3500,216.8106957,B,2015,0
5000,36,12.88,45000,34.21,717,1,14.5,2,10,0,0.196413913,0.45,5000,441.9313033,C,2015,0
2200,36,9.17,33000,38.33,682,10,59.6,0,17,0,0.158860048,0.45,2200,157.2714478,B,2015,0
5500,36,6.24,80000,18.94,732,10,35.6,0,15,0,0.059624855,0.45,5500,147.5715168,A,2015,0
9600,36,17.86,48000,13.9,702,4,1.7,1,8,0,0.268472221,0.45,9600,1159.799993,D,2015,0
18000,36,7.91,65400,30.75,737,10,56.5,0,15,0,0.085225098,0.45,18000,690.3232915,A,2015,0
35000,60,12.59,90000,26.96,752,10,28.4,0,11,0,0.231824472,0.45,35000,3651.235429,C,2015,0
5600,36,11.22,45000,17.33,682,2,98,0,6,0,0.127832973,0.45,5600,322.1390924,B,2015,0
23250,60,18.99,46500,17.28,692,3,63,0,9,0,0.469387395,0.45,23250,4910.965622,E,2015,0
20000,36,13.18,113000,11.32,727,2,19.7,1,13,1,0.138509035,0.45,20000,1246.581314,C,2015,1
10000,60,13.18,49592,33.66,797,10,2.3,0,6,0,0.195953602,0.45,10000,881.7912071,C,2015,1
24000,36,11.22,88000,24.25,722,8,73.4,0,9,0,0.115727844,0.45,24000,1249.860719,B,2015,1
13150,36,13.67,52000,38.41,662,1,76.6,2,11,0,0.283269175,0.45,13150,1676.24534,C,2015,0
16000,36,9.17,148200,29.98,722,10,71.3,0,15,0,0.09846879,0.45,16000,708.975288,B,2015,0
9600,36,6.89,73000,32.45,762,4,42.3,0,9,0,0.063517049,0.45,9600,274.3936532,A,2015,0
15000,60,9.17,110000,11.9,757,10,24,0,18,0,0.126827059,0.45,15000,856.0826475,B,2015,0
18000,36,9.76,70000,19.9,697,0,49.1,0,8,0,0.120480374,0.45,18000,975.8910308,B,2015,1
15000,36,11.22,56000,24.77,662,1,81.4,0,30,0,0.221657765,0.45,15000,1496.189915,B,2015,0
26400,60,26.77,60000,21.84,667,1,11.7,0,15,1,0.800366346,0.45,26400,9508.352185,G,2015,1
24000,60,17.86,70000,32.98,672,10,81.6,0,17,1,0.531783054,0.45,24000,5743.256981,D,2015,1
20275,60,18.2,110000,12.23,667,8,65.8,0,19,0,0.473785687,0.45,20275,4322.702163,E,2015,0
12475,36,17.57,30000,37.32,662,10,44.2,0,11,1,0.393354823,0.45,12475,2208.195635,D,2015,1
11750,36,12.59,70000,33.79,727,0,44.8,0,9,0,0.166239469,0.45,11750,878.9911911,C,2015,0
12000,36,9.17,65000,21.71,677,10,56.9,0,12,0,0.123567175,0.45,12000,667.2627477,B,2015,0
35000,60,16.55,100000,16.68,687,2,31.5,1,15,0,0.439898691,0.45,35000,6928.40439,D,2015,0
18000,60,18.2,50000,16.12,662,1,67.1,0,13,0,0.506190429,0.45,18000,4100.142478,E,2015,0
16000,36,9.17,81000,26.8,662,10,32.6,0,15,1,0.160573557,0.45,16000,1156.129609,B,2015,0
6000,36,8.49,90000,13.27,672,3,72,2,17,0,0.109188807,0.45,6000,294.8097785,B,2015,0
14400,60,9.76,90000,1.05,762,3,5.1,0,5,0,0.107607379,0.45,14400,697.295815,B,2015,0
2000,36,10.64,37440,22.44,702,6,34.6,0,6,0,0.124997061,0.45,2000,112.4973552,B,2015,1
6000,36,13.18,44000,17.33,692,3,23.4,1,14,0,0.189187532,0.45,6000,510.8063368,C,2015,0
12000,36,5.32,100000,10.4,767,10,11.2,0,11,0,0.036376102,0.45,12000,196.4309483,A,2015,0
17000,60,8.38,55000,11.26,772,2,29.6,0,11,0,0.105422118,0.45,17000,806.4792031,B,2015,0
